date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:12	57954/57954	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2020:02:10%20GMT	https://sites.google.com/view/marinersfan824/home?authuser=0	C:/My%20Web%20Sites/website/sites.google.com/view/marinersfan824/homee486.html	(from )
12:02:13	67/67	---MCZ	200	added ('OK')	text/plain	date:Thu,%2018%20Feb%202021%2020:02:12%20GMT	https://sites.google.com/robots.txt		(from )
12:02:14	297036/297036	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/My%20Web%20Sites/website/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/marinersfan824/home?authuser=0)
12:02:14	57933/57933	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2020:02:13%20GMT	https://sites.google.com/view/marinersfan824/home?authuser	C:/My%20Web%20Sites/website/sites.google.com/view/marinersfan824/homefd93.html	(from https://sites.google.com/view/marinersfan824/home?authuser=0)
12:02:15	12530/12530	---MC-	200	added ('OK')	application/javascript	date:Thu,%2018%20Feb%202021%2020:02:14%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/website/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/marinersfan824/home?authuser=0)
12:02:16	57906/57906	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2020:02:14%20GMT	https://sites.google.com/view/marinersfan824/home	C:/My%20Web%20Sites/website/sites.google.com/view/marinersfan824/home.html	(from https://sites.google.com/view/marinersfan824/home?authuser=0)
12:02:17	54467/54467	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2020:02:15%20GMT	https://sites.google.com/view/marinersfan824/datapacks	C:/My%20Web%20Sites/website/sites.google.com/view/marinersfan824/datapacks.html	(from https://sites.google.com/view/marinersfan824/home?authuser=0)
12:02:17	51621/51621	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2020:02:16%20GMT	https://sites.google.com/view/marinersfan824/mods	C:/My%20Web%20Sites/website/sites.google.com/view/marinersfan824/mods.html	(from https://sites.google.com/view/marinersfan824/home?authuser=0)
12:02:19	53153/53153	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2020:02:17%20GMT	https://sites.google.com/view/marinersfan824/community-feedback	C:/My%20Web%20Sites/website/sites.google.com/view/marinersfan824/community-feedback.html	(from https://sites.google.com/view/marinersfan824/home?authuser=0)
12:02:19	52140/52140	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2020:02:18%20GMT	https://sites.google.com/view/marinersfan824/obsidian-to-crying-obsidian	C:/My%20Web%20Sites/website/sites.google.com/view/marinersfan824/obsidian-to-crying-obsidian.html	(from https://sites.google.com/view/marinersfan824/datapacks)
12:02:20	52626/52626	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2020:02:19%20GMT	https://sites.google.com/view/marinersfan824/better-zombie-loot	C:/My%20Web%20Sites/website/sites.google.com/view/marinersfan824/better-zombie-loot.html	(from https://sites.google.com/view/marinersfan824/datapacks)
12:02:21	52415/52415	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2020:02:20%20GMT	https://sites.google.com/view/marinersfan824/craftable-tridents	C:/My%20Web%20Sites/website/sites.google.com/view/marinersfan824/craftable-tridents.html	(from https://sites.google.com/view/marinersfan824/datapacks)
12:02:23	52542/52542	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2020:02:20%20GMT	https://sites.google.com/view/marinersfan824/pvp-datapack	C:/My%20Web%20Sites/website/sites.google.com/view/marinersfan824/pvp-datapack.html	(from https://sites.google.com/view/marinersfan824/datapacks)
